gene,f_statistic,p_value
TMEM39A,0.010105335713010309,0.9200978983476091
TUT4,0.009948141695090795,0.9207197028308031
PLAA,0.009901240761165846,0.9209061861384353
SLC30A5,0.009875212272185782,0.9210098707972062
TMEM108,0.00987411620396703,0.9210142400184925
RPL23AP64,0.009792960454236407,0.9213384317594819
PIDD1,0.009788807371098744,0.9213550584436134
SUZ12P1,0.00978288205800168,0.9213787863391443
MTCO2P12,0.0097445738632268,0.9215323668039743
AC139769.3,0.009691512044341022,0.9217456001159048
PPP6R2,0.009686296462934476,0.9217665911435272
USP38,0.00965420190323623,0.9218958871540239
AL031055.1,0.009477623560928433,0.9226111639126828
TMEM254-AS1,0.009433618474643524,0.9227904627716877
TSC22D3,0.009255535789898243,0.9235204084223653
RNF44,0.00920105213377574,0.9237451457274376
BRK1,0.009167329871159086,0.9238845818359475
TRMT2A,0.009047500909617801,0.9243821610336148
IQSEC2,0.008958479568881628,0.9247539706094917
PUDP,0.008936696539461088,0.9248452338729344
CREB3L1,0.008850642094831475,0.9252068739293093
ORAI1,0.008783163838294271,0.9254916909008792
AL139100.1,0.008765109890938701,0.9255680812744874
EVI5,0.008628727546691934,0.9261477292429303
SNORA5C,0.008608434680403476,0.92623437119965
ZNF525,0.008596021847381551,0.9262874195288829
AL109976.1,0.008585498687290303,0.9263324222898524
SPPL2A,0.008522087595501314,0.9266041935104997
RMI1,0.008519792029225025,0.9266140510865852
CCP110,0.008376366871374618,0.927232623118543
COX7A2L,0.008315652313336225,0.9274960842029211
MPND,0.008292296818175806,0.9275976898254347
TFPT,0.008290812525569726,0.9276041519573419
BTG2,0.008277786080657165,0.927660889943596
GPR137B,0.008255791857168182,0.9277567902525451
