names,scores,logfoldchanges,pvals,pvals_adj,cluster
RPL32,90.58972,0.9798677,0.0,0.0,2
LDHB,89.84823,1.9492288,0.0,0.0,2
NACA,89.098236,1.0618852,0.0,0.0,2
TRBC2,88.440674,2.5625541,0.0,0.0,2
BTG1,86.314735,1.9813131,0.0,0.0,2
FAU,84.79049,0.76004785,0.0,0.0,2
RPS28,84.755844,0.72780055,0.0,0.0,2
EEF1A1,84.53415,0.6563597,0.0,0.0,2
RPS18,83.84545,0.82616514,0.0,0.0,2
CD69,82.93999,2.3163939,0.0,0.0,2
RPL29,82.03815,0.8778628,0.0,0.0,2
LTB,81.39716,2.4191961,0.0,0.0,2
TXNIP,80.62255,1.8839422,0.0,0.0,2
TRAC,79.84254,2.230675,0.0,0.0,2
RPL39,78.36075,0.894391,0.0,0.0,2
RPL6,77.17832,0.86232626,0.0,0.0,2
RPS24,77.14452,0.73145014,0.0,0.0,2
RPSA,76.32846,1.099126,0.0,0.0,2
RPS4X,75.5473,0.758286,0.0,0.0,2
ETS1,75.2245,2.4654021,0.0,0.0,2
JUND,74.926796,1.6709892,0.0,0.0,2
HLA-E,74.139114,1.4738955,0.0,0.0,2
SARAF,74.06085,1.2597994,0.0,0.0,2
RPS8,73.704,0.777737,0.0,0.0,2
GIMAP7,73.47336,2.7051234,0.0,0.0,2
ZFP36L2,71.76826,1.6132332,0.0,0.0,2
EVL,71.64375,2.0771554,0.0,0.0,2
TCF7,71.48212,3.4399972,0.0,0.0,2
RPL9,71.3593,0.8438376,0.0,0.0,2
RPL22,71.1778,0.8810035,0.0,0.0,2
RPL37,70.82812,0.79334015,0.0,0.0,2
FYB,70.606865,2.2626925,0.0,0.0,2
CYTIP,70.044426,2.1377285,0.0,0.0,2
RAC2,69.94643,1.988403,0.0,0.0,2
CD2,68.959595,2.0279799,0.0,0.0,2
RPL34,68.34638,0.77612495,0.0,0.0,2
GIMAP4,67.944786,2.50439,0.0,0.0,2
HCST,67.63101,1.8510717,0.0,0.0,2
CORO1A,67.29671,1.7542675,0.0,0.0,2
LIMD2,66.697464,1.9196609,0.0,0.0,2
RPL35A,66.218285,0.7396776,0.0,0.0,2
RPS10,66.049484,1.1484897,0.0,0.0,2
LEPROTL1,66.04505,1.7235827,0.0,0.0,2
STK4,65.32134,1.8240861,0.0,0.0,2
RPL24,65.10083,0.6789651,0.0,0.0,2
STK17A,64.22367,1.8919449,0.0,0.0,2
MYL12A,64.16173,1.0416071,0.0,0.0,2
GMFG,64.07459,1.7018294,0.0,0.0,2
ARL4C,62.685055,2.230635,0.0,0.0,2
FAM65B,62.574932,2.598245,0.0,0.0,2
AES,62.25457,1.4513078,0.0,0.0,2
TSC22D3,61.353725,1.4558817,0.0,0.0,2
TRAF3IP3,61.24048,2.475708,0.0,0.0,2
KIAA1551,61.00206,2.1328003,0.0,0.0,2
RPL18A,60.145557,0.70111066,0.0,0.0,2
CCR7,59.99249,2.2594478,0.0,0.0,2
GNB2L1,59.55069,0.7160804,0.0,0.0,2
RPLP1,58.33787,0.53068143,0.0,0.0,2
LCK,58.122135,2.0412905,0.0,0.0,2
JUNB,58.102047,1.2229861,0.0,0.0,2
RPL36,57.40173,0.6410588,0.0,0.0,2
RPS14,57.400806,0.6677682,0.0,0.0,2
ATM,56.873013,2.1339855,0.0,0.0,2
KLF2,56.607883,1.7432393,0.0,0.0,2
RPL3,55.967392,0.66489613,0.0,0.0,2
EEF1D,55.912132,0.79213434,0.0,0.0,2
GIMAP1,55.86723,2.8146038,0.0,0.0,2
SRSF5,54.722115,1.127256,0.0,0.0,2
CD48,54.23719,1.7365685,0.0,0.0,2
RPS19,54.17055,0.62472755,0.0,0.0,2
ACAP1,53.57491,2.0304894,0.0,0.0,2
HLA-B,53.494896,0.9702818,0.0,0.0,2
RPS27,53.212864,0.7152838,0.0,0.0,2
B2M,52.935555,0.58878005,0.0,0.0,2
HLA-DRB1,130.47377,4.6280527,0.0,0.0,3
FTL,126.74443,3.1708186,0.0,0.0,3
TYROBP,122.93131,5.317799,0.0,0.0,3
HLA-DRA,122.409195,4.5795913,0.0,0.0,3
HLA-DPA1,117.93037,4.0328608,0.0,0.0,3
LYZ,115.43829,5.821436,0.0,0.0,3
CD74,110.826256,3.4588745,0.0,0.0,3
S100A11,110.51078,2.7352052,0.0,0.0,3
HLA-DPB1,107.71253,3.5507305,0.0,0.0,3
HLA-DQA1,102.44363,3.8090148,0.0,0.0,3
HLA-DRB5,100.57519,3.4425697,0.0,0.0,3
CST3,99.58081,3.0009947,0.0,0.0,3
AIF1,96.540504,4.245938,0.0,0.0,3
FCER1G,96.008385,4.283831,0.0,0.0,3
GPX1,93.98839,2.5805688,0.0,0.0,3
TYMP,91.38825,3.5197082,0.0,0.0,3
LGALS1,90.78423,2.7586715,0.0,0.0,3
VIM,89.71573,1.863318,0.0,0.0,3
FTH1,88.83311,1.5255255,0.0,0.0,3
CD68,87.92008,4.944366,0.0,0.0,3
CTSZ,87.72254,3.5671303,0.0,0.0,3
HLA-DQB1,87.12442,3.0497694,0.0,0.0,3
HLA-DQA2,85.58389,3.5358858,0.0,0.0,3
TMSB10,85.12287,1.0638539,0.0,0.0,3
S100A10,83.894135,2.2794797,0.0,0.0,3
C1QC,83.88321,4.8977594,0.0,0.0,3
C1QA,82.34054,4.776261,0.0,0.0,3
C1QB,81.118286,4.878886,0.0,0.0,3
IGSF6,80.17716,4.498388,0.0,0.0,3
GRN,79.87587,2.9966662,0.0,0.0,3
HLA-DMA,77.75573,2.7286062,0.0,0.0,3
SPI1,77.197,4.1883035,0.0,0.0,3
CAPG,76.5637,2.6296554,0.0,0.0,3
CTSS,74.86339,2.573513,0.0,0.0,3
CYBB,74.11465,3.7921393,0.0,0.0,3
CTSD,73.876884,2.7752364,0.0,0.0,3
MS4A6A,73.67366,3.6621273,0.0,0.0,3
HSPA1A,73.611885,2.6071634,0.0,0.0,3
ANXA2,73.572205,2.078927,0.0,0.0,3
ACTB,72.424416,1.0634738,0.0,0.0,3
RP11-1143G9.4,72.3937,4.779932,0.0,0.0,3
CCL3,72.35665,3.2491994,0.0,0.0,3
COTL1,71.85618,2.4143384,0.0,0.0,3
PSAP,71.37805,2.1739964,0.0,0.0,3
LST1,71.190735,3.4485388,0.0,0.0,3
MNDA,70.042244,3.5662878,0.0,0.0,3
NFKBIA,69.88276,2.018394,0.0,0.0,3
IER3,69.34899,2.9239328,0.0,0.0,3
BCL2A1,68.62257,3.2669656,0.0,0.0,3
C15orf48,67.827576,4.314442,0.0,0.0,3
OAZ1,67.656296,1.0926387,0.0,0.0,3
CYBA,67.41416,1.2697371,0.0,0.0,3
SGK1,66.42611,2.9162118,0.0,0.0,3
SOD2,65.44372,2.598073,0.0,0.0,3
ARPC3,65.09811,1.3582404,0.0,0.0,3
FABP5,64.66814,3.1647694,0.0,0.0,3
TUBA1B,63.719402,1.9704586,0.0,0.0,3
ARPC1B,63.66737,1.62937,0.0,0.0,3
PLEK,63.297462,3.0257196,0.0,0.0,3
HSP90AA1,63.1723,1.480272,0.0,0.0,3
S100A9,62.740795,4.152086,0.0,0.0,3
BRI3,62.483074,1.9937415,0.0,0.0,3
GLUL,62.0247,2.3011389,0.0,0.0,3
CTSC,61.808266,1.9209806,0.0,0.0,3
CSTB,61.49227,1.9714563,0.0,0.0,3
SAT1,61.302486,1.4873492,0.0,0.0,3
SH3BGRL3,61.18006,1.3986528,0.0,0.0,3
GNAI2,60.953747,1.8735893,0.0,0.0,3
CD14,60.66025,3.6061008,0.0,0.0,3
TSPO,60.65756,1.801046,0.0,0.0,3
AP2S1,60.529472,2.073636,0.0,0.0,3
TMEM176B,59.92633,3.2862763,0.0,0.0,3
FCGR2A,59.295322,3.5009863,0.0,0.0,3
CTSL,59.102535,3.3439429,0.0,0.0,3
IFI30,59.050236,4.323078,0.0,0.0,3
CCL4L2,58.502365,2.5370731,0.0,0.0,3
