"gene","mean_elderly","mean_young","log2FC","pvalue","padj"
"CD200",5.06131626724531,5.32013705887759,-0.258820791632283,0.000910722585105991,0.0712436434769022
"SRGAP2C",1.61085020208318,1.76796088571553,-0.157110683632347,0.000919652485250362,0.0712436434769022
"PLAAT4",6.13246121164435,6.55588111327879,-0.423419901634439,0.000919659804191549,0.0712436434769022
"MPZL3",4.72060053143246,4.99708866992048,-0.276488138488024,0.000923351603868499,0.0712436434769022
"BDH2",5.04856732932016,5.23760548453118,-0.189038155211019,0.00092494923917617,0.0712436434769022
"GLUD2",1.34566295389563,1.52621421671289,-0.180551262817259,0.000926711209806423,0.0712436434769022
"AL356481.1",1.29008855583098,1.41833349246188,-0.128244936630901,0.000942394630989134,0.0721108041235844
"AVIL",1.78348535021682,2.00851195913222,-0.225026608915408,0.000972125222594315,0.0737051222644356
"XCL2",1.13830174764821,1.46587060702357,-0.327568859375354,0.000972232452465227,0.0737051222644356
"BDNF",0.990424929985609,1.24180035614507,-0.251375426159458,0.000980029019980252,0.0737184362455645
"MALL",3.11830456924738,3.58020298140074,-0.46189841215336,0.000981411853528736,0.0737184362455645
"AC018413.1",1.44749421418892,1.59035543058376,-0.142861216394843,0.00100878789288122,0.0754287750955704
"AC107884.1",1.06397637249255,1.21436382411545,-0.150387451622904,0.00101726163346489,0.0756599953002477
"PLIN2",4.35143790362564,4.62579842732104,-0.2743605236954,0.00102112115794533,0.0756599953002477
"PPP1R10",5.83416552384036,6.03192706843001,-0.197761544589655,0.00103444953200825,0.0757587286322112
"PTGES3P2",1.40711364919241,1.69477670290785,-0.287663053715442,0.00103579837206097,0.0757587286322112
"IKZF2",3.76735770786999,4.09619083341071,-0.328833125540714,0.0010363331428162,0.0757587286322112
"STK32A",4.36101672323875,4.775628317158,-0.414611593919253,0.00104699129537577,0.0760050131201484
"RPS2P46",3.36214410073728,3.65001672492379,-0.287872624186519,0.00104898521924602,0.0760050131201484
"AC114488.1",1.59410557570815,1.85582057905482,-0.261715003346672,0.00106286380501439,0.0763401239399535
"HHATL",4.87299191906501,4.25385953917207,0.619132379892938,0.00106293424478225,0.0763401239399535
"PNMA8B",1.47518805274378,1.73261105269331,-0.25742299994953,0.00106819179897319,0.0763827105160962
"GZMH",2.29638166306371,2.69580335267327,-0.399421689609557,0.00108521481562535,0.0771892246517743
"NEK3",2.50900612333849,2.66105667070238,-0.15205054736389,0.0010888983752403,0.0771892246517743
"TRBV6-5",1.0961204942341,1.43894269332356,-0.342822199089461,0.00111041970070089,0.0778265802132694
"CNN3",7.69697538445285,7.93263392253793,-0.235658538085087,0.00111253379152416,0.0778265802132694
"ABCA1",3.74566366777044,4.04354981398718,-0.297886146216732,0.00111758191908491,0.0778265802132694
"DOCK9-DT",5.04053658231492,5.43202932905984,-0.391492746744911,0.00112088676519549,0.0778265802132694
"PLAAT3",6.45966985129302,6.67731881345705,-0.217648962164033,0.00112165330872254,0.0778265802132694
"UNC5C",3.95243286635082,4.31747682335916,-0.365043957008338,0.0011279644120086,0.0778629528001109
"SGCE",2.18041402239455,2.43523258173215,-0.254818559337608,0.00113170722247452,0.0778629528001109
"PALM2AKAP2",3.96466529259546,4.25520338416983,-0.290538091574363,0.00113644248667032,0.0778629528001109
"MPZL2",7.05080939581657,7.46246959169519,-0.411660195878627,0.00114442400262408,0.078057022420791
"C5orf67",1.72788581880572,2.02015124967704,-0.292265430871314,0.00114880869639149,0.078057022420791
"CYP2T1P",1.33413179304024,1.57224776869872,-0.238115975658479,0.00118012320818764,0.0787449544365614
"PLK3",4.68082792177168,4.98491717463293,-0.304089252861247,0.00118704475517318,0.0787449544365614
"VWCE",1.07078197233297,1.27645183126357,-0.205669858930604,0.00119356504157515,0.0787449544365614
"RPL12P12",1.30798562018776,1.45323659064598,-0.145250970458225,0.00119518458132835,0.0787449544365614
"STOM",7.24673494373708,7.50445249188557,-0.257717548148491,0.00119605721672948,0.0787449544365614
"BTN3A3",3.46421378188166,3.72188856517474,-0.257674783293087,0.00119922517024697,0.0787449544365614
"NASP",4.77301143164938,4.92369726929509,-0.150685837645716,0.0011995637121828,0.0787449544365614
"POLH-AS1",1.36148385299227,1.49167521956267,-0.130191366570396,0.00120347268115116,0.0787449544365614
"ACVR1",6.20343432813024,6.47258214511485,-0.269147816984616,0.00120599583829364,0.0787449544365614
"DAB2IP",5.39241703517338,5.65976712491171,-0.26735008973833,0.00120702189701233,0.0787449544365614
"NRBP2",4.08745198421081,4.3395411445939,-0.252089160383099,0.00122239550497465,0.0794314539442851
"ZFAND5",6.13744696802521,6.31519977789719,-0.177752809871984,0.00123109130027661,0.0796803163716579
